id_specific_price;id_specific_price_rule;id_cart;id_product;id_shop;id_shop_group;id_currency;id_country;id_group;id_customer;id_product_attribute;price;from_quantity;reduction;reduction_tax;reduction_type;from;to
1;0;2845;2679;1;1;0;0;0;0;26792;39.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
2;0;2846;3161;1;1;0;0;0;0;31611;45.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
3;0;2850;2915;1;1;0;0;0;0;29151;89.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
6;0;2853;180;1;1;0;0;0;0;1802;76.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
8;0;2855;3316;1;1;0;0;0;0;33161;315.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
10;0;2857;2758;1;1;0;0;0;0;27582;147.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
11;0;2858;2915;1;1;0;0;0;0;29151;178.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
12;0;2859;3231;1;1;0;0;0;0;32312;23.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
13;0;2860;30;1;1;0;0;0;0;302;135.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
15;0;2863;2759;1;1;0;0;0;0;27591;198.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
16;0;2868;2841;1;1;0;0;0;0;28411;119.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
21;0;2876;3365;1;1;0;0;0;0;33652;102.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
22;0;2877;222;1;1;0;0;0;0;2222;14.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
26;0;2878;2701;1;1;0;0;0;0;27012;117.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
27;0;2878;682;1;1;0;0;0;0;6822;207.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
28;0;2878;2;1;1;0;0;0;0;22;42.750000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
44;0;2896;222;1;1;0;0;0;0;2222;14.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
49;0;2903;2844;1;1;0;0;0;0;28441;693.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
51;0;2905;2970;1;1;0;0;0;0;29701;220.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
53;0;2910;111;1;1;0;0;0;0;1112;24.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
54;0;2911;113;1;1;0;0;0;0;1131;216.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
58;0;2914;3316;1;1;0;0;0;0;33161;765.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
59;0;2915;2841;1;1;0;0;0;0;28411;238.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
60;0;2917;9;1;1;0;0;0;0;92;9.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
61;0;2918;119;1;1;0;0;0;0;1192;316.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
62;0;2919;125;1;1;0;0;0;0;1251;51.750000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
64;0;2923;117;1;1;0;0;0;0;1172;127.500000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
65;0;2925;2866;1;1;0;0;0;0;28662;22.500000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
66;0;2926;2012;1;1;0;0;0;0;20122;240.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
69;0;2928;2969;1;1;0;0;0;0;29691;59.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
70;0;2927;3147;1;1;0;0;0;0;31471;145.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
73;0;2933;113;1;1;0;0;0;0;1131;72.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
76;0;2941;1982;1;1;0;0;0;0;19822;15.000000;1;0.000000;0;amount;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
